,type,title,date,distance,time,easy,tempo,interval,long,recovery,category
461,running,recovery running,2016-06-29 16:43:32,4.63,31:01,False,False,False,False,True,recovery
462,running,sukhothai marathon 2016,2016-06-26 04:00:00,42.22,4:18:21,False,False,False,True,False,long
463,elliptical,1hour elliptical ,2016-06-22 23:04:42,0.0,1:00:38,False,False,False,False,False,
464,running,easy running เจ็บหลัง,2016-06-19 22:27:14,5.21,32:16,True,False,False,False,False,easy
465,running,easy running,2016-06-16 17:45:01,5.09,32:54,True,False,False,False,False,easy
466,running,long run 30k,2016-06-13 00:00:04,30.03,2:51:25,False,False,False,True,False,long
467,running,easy running,2016-06-11 16:16:48,2.55,14:26,True,False,False,False,False,easy
468,running,easy running,2016-06-11 15:43:05,5.07,26:54,True,False,False,False,False,easy
469,running,tempo running,2016-06-09 21:38:47,10.01,55:17,False,True,False,False,False,tempo
470,running,sai mai running,2016-06-08 20:38:37,5.03,28:57,False,False,False,False,False,
471,running,recovery running,2016-06-07 18:33:18,5.21,31:12,False,False,False,False,True,recovery
472,running,garmin blue run 2016,2016-06-05 05:15:35,20.84,1:50:44,False,False,False,True,False,long
473,running,global running day tempo,2016-06-01 17:25:06,5.05,26:11,False,True,False,False,False,tempo
474,running,easy running,2016-05-31 21:04:36,5.02,28:22,True,False,False,False,False,easy
475,running,tempo running,2016-05-30 20:49:56,5.21,28:28,False,True,False,False,False,tempo
476,running,tempo running,2016-05-28 17:25:05,7.58,40:32,False,True,False,False,False,tempo
477,running,tempo running,2016-05-28 17:04:25,2.54,12:41,False,True,False,False,False,tempo
478,running,interval 400/400 x5 ,2016-05-26 16:43:26,5.92,35:39,False,False,True,False,False,interval
479,running,easy tempo running,2016-05-24 21:32:04,5.15,30:16,True,True,False,False,False,tempo
480,running,singha bangkok 21k 2016,2016-05-22 05:32:47,21.47,1:54:27,False,False,False,True,False,long
481,elliptical,เครื่องเดินวงรี,2016-05-20 21:57:29,0.0,30:56,False,False,False,False,False,
482,running,วิ่งแล้วคัน,2016-05-18 07:42:22,1.82,12:30,False,False,False,False,False,
483,running,unite to end tb walk and run 2016,2016-05-15 05:59:38,10.02,48:06,False,False,False,False,False,
484,running,easy running,2016-05-13 18:17:57,5.11,36:59,True,False,False,False,False,easy
485,running,tempo running,2016-05-11 21:34:48,5.17,29:04,False,True,False,False,False,tempo
486,running,tempo running,2016-05-10 21:27:32,5.24,29:50,False,True,False,False,False,tempo
487,running,bang khen running,2016-05-09 21:19:33,5.07,32:28,False,False,False,False,False,
488,running,10k time trial running,2016-05-07 17:19:16,10.12,50:11,False,False,False,False,False,
489,running,pattaya beach running,2016-05-05 20:54:43,5.24,31:39,False,False,False,False,False,
490,running,pattaya easy running,2016-05-03 21:52:34,5.77,37:56,True,False,False,False,False,easy
491,running,pattaya tempo running,2016-05-02 21:25:53,5.29,30:42,False,True,False,False,False,tempo
492,running,tempo running,2016-05-01 18:22:56,10.35,59:52,False,True,False,False,False,tempo
493,running,easy running,2016-04-29 18:34:11,5.07,33:18,True,False,False,False,False,easy
494,running,easy running,2016-04-28 20:03:09,5.02,31:53,True,False,False,False,False,easy
495,running,pattaya easy running,2016-04-26 20:39:07,5.33,31:51,True,False,False,False,False,easy
496,running,tu walk and run 2016,2016-04-24 05:29:58,12.2,1:02:15,False,False,False,False,False,
497,running,easy tempo running,2016-04-21 18:30:58,5.09,29:07,True,True,False,False,False,tempo
498,running,5k time trial,2016-04-18 23:31:15,5.16,24:59,False,False,False,False,False,
499,running,long running,2016-04-15 20:28:30,21.01,2:11:11,False,False,False,True,False,long
500,running,easy running,2016-04-13 22:35:25,10.25,1:08:17,True,False,False,False,False,easy
501,running,negative split tempo,2016-04-11 22:50:15,10.12,58:16,False,True,False,False,False,tempo
502,running,easy tempo running,2016-04-10 23:16:38,5.38,34:21,True,True,False,False,False,tempo
503,running,easy running,2016-04-09 23:23:17,5.49,35:04,True,False,False,False,False,easy
504,running,long running,2016-04-07 21:37:03,21.02,2:25:22,False,False,False,True,False,long
505,running,easy running,2016-04-05 21:22:05,10.6,1:13:11,True,False,False,False,False,easy
506,running,interval 240m/240m x 7,2016-04-04 21:21:18,7.04,47:42,False,False,True,False,False,interval
507,running,easy running,2016-04-03 06:10:44,10.48,1:09:36,True,False,False,False,False,easy
508,running,easy tempo  running,2016-04-01 18:44:17,5.08,29:59,True,True,False,False,False,tempo
509,running,tempo running,2016-03-31 16:12:08,10.23,1:05:26,False,True,False,False,False,tempo
510,running,easy running,2016-03-27 17:43:50,12.65,1:25:32,True,False,False,False,False,easy
511,walking,walk2,2016-03-25 22:19:36,1.71,22:36,False,False,False,False,False,
512,walking,walk1,2016-03-25 21:50:01,0.97,12:55,False,False,False,False,False,
513,running,tempo ไม่ถึงเป้า long run,2016-03-24 16:06:15,12.68,1:24:41,False,True,False,True,False,tempo
514,elliptical,เครื่องเดินวงรึ,2016-03-22 19:54:11,0.0,35:01,False,False,False,False,False,
515,running,easy running,2016-03-21 17:25:06,10.14,1:08:57,True,False,False,False,False,easy
516,running,tempo running,2016-03-20 20:07:59,5.16,33:27,False,True,False,False,False,tempo
